M1:Apple II,M2:Atari 800,M3:Com.VIC 20,M4:Ex.Sorcerer,M5:Zenith H8,M6:Zenith H89,M7:HP-85,M8:Horizon,M9:O.S.Challenger,M10:O.S.II Series,M11:TRS-80 I,M12:TRS-80 II
6,5.27,4.4,4.32,3.29,3.42,1.15,3.68,4.31,5.02,5.56,4.09
5.27,6,4.65,4.98,3.54,3.67,1.35,4.35,4.23,4.94,4.98,4.34
4.4,4.65,6,3.64,3.55,3.71,2.36,3.03,4.75,4.04,3.64,4.47
4.32,4.98,3.64,6,4.07,4.06,1.24,4.74,4.12,4.83,5.22,4.66
3.29,3.54,3.55,4.07,6,5.81,1.18,4.71,2.65,3.35,3.74,5
3.42,3.67,3.71,4.06,5.81,6,1.3,4.83,2.77,3.48,3.87,5.13
1.15,1.35,2.36,1.24,1.18,1.3,6,0.61,1.9,1.2,1.23,2.12
3.68,4.35,3.03,4.74,4.71,4.83,0.61,6,3.06,3.77,4.16,4.02
4.31,4.23,4.75,4.12,2.65,2.77,1.9,3.06,6,5.23,4.77,3.44
5.02,4.94,4.04,4.83,3.35,3.48,1.2,3.77,5.23,6,5.48,4.15
5.56,4.98,3.64,5.22,3.74,3.87,1.23,4.16,4.77,5.48,6,4.61
4.09,4.34,4.47,4.66,5,5.13,2.12,4.02,3.44,4.15,4.61,6
